city,city_pop,lat,lon,country,country_pop
Adelaide,,-34.928888888889,138.60111111111,,
Aguascalientes,1312544.0,22.016666666667,-102.35,Mexico,123675325.0
Albuquerque,558545.0,35.110833333333,-106.61,United States,327167434.0
Alexandria,5200000.0,31.2,29.916666666667,Egypt,100124354.0
Amsterdam,1351587.0,52.366666666667,4.9,Netherlands,17283008.0
Ankara,5445026.0,39.933333333333,32.866666666667,Turkey,80810525.0
Ansan,693546.0,37.316666666667,126.83333333333,South Korea,51446201.0
Anshan,3645884.0,41.116666666667,122.98333333333,China,1403500365.0
Antwerpen,520504.0,51.217777777778,4.4002777777778,Belgium,11420163.0
Arnhem,156600.0,51.983333333333,5.9166666666667,Netherlands,17283008.0
Asahikawa,352105.0,43.766666666667,142.36666666667,Japan,126440000.0
Asuncion city,2198662.0,-25.3,-57.633333333333,Paraguay,7052984.0
Athens,3090508.0,37.983972222222,23.727805555556,Greece,10816286.0
Atlanta,486290.0,33.755,-84.39,United States,327167434.0
Atlanta_Metro_Test,,,,,
Auckland,1695900.0,-36.840555555556,174.74,New Zealand,4929060.0
Austin,950715.0,30.266666666667,-97.733333333333,,
Bacolod,791019.0,10.67,122.95,Philippines,100981437.0
Baltimore,620961.0,39.283333333333,-76.616666666667,United States,327167434.0
Bangalore,12339447.0,12.983333333333,77.583333333333,India,1324171354.0
Bangkok,14626225.0,13.7525,100.49416666667,Thailand,68863514.0
Baoding,10425379.0,38.866666666667,115.46666666667,China,1403500365.0
Baoji,3716731.0,34.363,107.238,People's Republic of China,1403500365.0
Baotou,2650364.0,40.65,109.83333333333,China,1403500365.0
Barcelona,1620809.0,41.383333333333,2.1833333333333,Spain,46710000.0
Basel,177275.0,47.566666666667,7.6,,
Beijing,21707000.0,39.916666666667,116.38333333333,People's Republic of China,1403500365.0
Beirut,2200000.0,33.886944444444,35.513055555556,Lebanon,6006668.0
Belfast,,54.6,-5.9333333333333,,
Belgrad,1166763.0,44.816666666667,20.466666666667,,
Belo Horizonte,5156217.0,-19.916666666667,-43.933333333333,Brazil,210147125.0
Benoni,,,,,
Berlin,6004857.0,52.516666666667,13.388888888889,Germany,82800000.0
Bilbao,1037847.0,43.256944444444,-2.9236111111111,Spain,46710000.0
Binzhou,3779200.0,37.383,117.971,People's Republic of China,1403500365.0
Birmingham,1137100.0,52.483333333333,-1.9,,
Bogota,10200000.0,4.7111111111111,-74.072222222222,Colombia,49996445.0
Bologna,1013092.0,44.5075,11.351388888889,Italy,60483973.0
Bonn,322125.0,50.733333333333,7.1,Germany,82800000.0
Bordeaux,760933.0,44.84,-0.58,France,67348000.0
Boston,685094.0,42.358055555556,-71.063611111111,United States,327167434.0
Bournemouth,183491.0,50.72,-1.88,,
Bradford,163329.0,53.8,-1.75206,,
Brasilia,4291577.0,-15.793888888889,-47.882777777778,Brazil,210147125.0
Bremen,2400000.0,53.083333333333,8.8,Germany,82800000.0
Brighton,288200.0,50.842941,-0.131312,,
Brisbane city,,-27.466666666667,153.03333333333,,
Bristol,724000.0,51.45,-2.5833333333333,,
Brno,810000.0,49.2,16.616666666667,Czech Republic,10610947.0
Brussels,2120000.0,50.85,4.35,Belgium,11420163.0
Bucharest,2106144.0,44.4325,26.103888888889,Romania,20121641.0
Bucheon,1666078.0,37.5,126.78333333333,South Korea,51446201.0
Budapest,1779361.0,47.4925,19.051388888889,Hungary,9797561.0
Buenos Aires,13591863.0,-34.603333333333,-58.381666666667,Argentina,43847430.0
Busan,3506103.0,35.166666666667,129.06666666667,South Korea,51446201.0
Cagayan de Oro,1376343.0,8.48,124.65,Philippines,100981437.0
Cairo,20439541.0,30.033333333333,31.233333333333,Egypt,100124354.0
Calgary,1239220.0,51.05,-114.06666666667,Canada,37067011.0
Cali,2400653.0,3.4205555555556,-76.522222222222,Colombia,49996445.0
Caloocan,1583978.0,14.65,120.97,Philippines,100981437.0
Campinas,3656363.0,-22.900833333333,-47.057222222222,Brazil,210147125.0
Canberra city,,-35.3075,149.12441666667,,
Cangzhou,7134062.0,,,People's Republic of China,1403500365.0
Cape Town,4005015.0,-33.925277777778,18.423888888889,South Africa,57725600.0
Cardiff,1097000.0,51.483333333333,-3.1833333333333,,
Cebu City,2849213.0,10.3,123.9,Philippines,100981437.0
Changchun,7674439.0,43.886944444444,125.32472222222,China,1403500365.0
Changde,5714623.0,29.033333333333,111.68333333333,People's Republic of China,1403500365.0
Changsha,7431800.0,28.228,112.939,People's Republic of China,1403500365.0
Changwon,1070199.0,35.270833333333,128.66305555556,South Korea,51446201.0
Changzhou,4592431.0,31.811,119.974,China,1403500365.0
Charleroi,201256.0,50.4,4.4333333333333,Belgium,11420163.0
Charlotte,859035.0,35.227222222222,-80.843055555556,United States,327167434.0
Chengdu,14427500.0,30.657,104.066,China,1403500365.0
Chennai,7088000.0,13.083333333333,80.266666666667,India,1324171354.0
Cheongju,838689.0,36.633333333333,127.48333333333,South Korea,51446201.0
Chicago,2695598.0,41.836944444444,-87.684722222222,United States,327167434.0
Chihuahua,,,,,
Chongqing,30165500.0,29.558333333333,106.56666666667,People's Republic of China,1403500365.0
Christchurch,404500.0,-43.53,172.62027777778,New Zealand,4929060.0
Chuncheon,281725.0,37.866666666667,127.73333333333,South Korea,51446201.0
Cincinnati,301301.0,39.1,-84.516666666667,United States,327167434.0
Ciudad Juarez,2539946.0,31.738580555556,-106.48701388889,Mexico,123675325.0
Cleveland,396698.0,41.482222222222,-81.669722222222,,
Coimbra,143396.0,40.211111111111,-8.4291666666667,Portugal,10562178.0
Cologne,3573500.0,50.936388888889,6.9527777777778,Germany,82800000.0
Columbus,,,,,
Coventry,651600.0,52.408055555556,-1.5105555555556,,
Daegu,2501673.0,35.866666666667,128.6,South Korea,51446201.0
Daejeon,1512189.0,36.351,127.385,South Korea,51446201.0
Dalian,6690432.0,38.920833333333,121.63916666667,People's Republic of China,1403500365.0
Dallas,1341075.0,32.783333333333,-96.8,United States,327167434.0
Daqing,2904532.0,,,People's Republic of China,1403500365.0
Davao,,,,,
Delhi,16787941.0,28.61,77.23,India,1324171354.0
Denver,704621.0,39.76185,-104.881105,,
Denver_Metro_Test,,,,,
Detroit,713777.0,42.331388888889,-83.045833333333,,
Dezhou,5586200.0,,,People's Republic of China,1403500365.0
Doha,1351000.0,25.286666666667,51.533333333333,Qatar,2641669.0
Dongguan,8220207.0,23.021,113.752,People's Republic of China,1403500365.0
Dongying,2035338.0,37.434,118.6746,People's Republic of China,1403500365.0
Dortmund,5302179.0,51.516666666667,7.4666666666667,Germany,82800000.0
